handle,tweet,if_tsunami,datetime,day,month,year,time
starjogja,Tas Siaga Bencana Tas yang dipersiapkan anggota keluarga untuk berjaga-jaga apabila terjadi suatu bencana/kondisi darurat lain. Persiapan untuk bertahan hidup saat bantuan belum datang & memudahkan kita saat evakuasi menuju tempat aman - @BNPB_Indonesiapic.twitter.com/cG1PpUQeOU,False,2018-12-18 03:00:00,18,Dec,2018,3:00 AM
infoBMKG,Peringatan dini cuaca wilayah Jawa Timur [18 Desember 2018] #BMKG Selengkapnya klik tautan berikuthttp://www.bmkg.go.id/peringatan-dini/?p=ifit20181218 …,False,2018-12-18 02:35:00,18,Dec,2018,2:35 AM
hkb_26april,Teknik pelindungan diri ketika terjadi gempabumi #BimtekSrikandiSiagaBencana #SiapUntukSelamat #BudayaSadarBencana #SrikandiSiagaBencana #HKB2019 #HKB26Aprilpic.twitter.com/8rwEJcsfzJ,False,2018-12-18 02:39:00,18,Dec,2018,2:39 AM
infomitigasi,"Earthquake Mag: 3.7, Depth: 10 km, 2018-12-18  09:51:02 UTC, Location (lat,lon): -6.81,105.07 (Sunda Strait, Indonesia)pic.twitter.com/f4fXVvWa80",False,2018-12-18 02:46:00,18,Dec,2018,2:46 AM
hkb_26april,Pengenalan peralatan dan perlengkapan kesiapsiagaan bencana  #BimtekSrikandiSiagaBencana #SiapUntukSelamat #BudayaSadarBencana #HKB2019 #HKB26April #SrikandiSiagaBencanapic.twitter.com/uT4dwBhPYV,False,2018-12-18 02:42:00,18,Dec,2018,2:42 AM
hkb_26april,"Sesi materi pengantar praktek perlindungan diri dan keselamatan gempabumi dan kebakaran oleh Dr.Fitriana Suprapti, MAN dari Jakarta Rescue, pd kegiatan Bimtek SRIKANDI SIAGA BENCANA  #SiapUntukSelamat #BudayaSadarBencana #SrikandiSiagaBencana #HKB2019 #HKB26Aprilpic.twitter.com/YaVVwqAr7y",False,2018-12-18 02:27:00,18,Dec,2018,2:27 AM
infoBMKG,Peringatan dini cuaca wilayah Sulawesi Selatan [18 Desember 2018] #BMKG Selengkapnya klik tautan berikuthttp://www.bmkg.go.id/peringatan-dini/?p=mfeu20181218 …,False,2018-12-18 02:15:00,18,Dec,2018,2:15 AM
hkb_26april,"Rangkaian kegiatan Bimtek Srikandi Siaga Bencana. Bimtek Srikandi Siaga Bencana diikuti oleh 45 orang yang terdiri dari Darma Wanita Persatuan (DWP) BNPB, Pengurus DWP dan staf BNPB.   #SrikandiSiagaBencana #SiapUntukSelamat #BudayaSadarBencana #HKB2019 #HKB26Aprilpic.twitter.com/ZMN3Y44RPj",False,2018-12-18 02:15:00,18,Dec,2018,2:15 AM
Sutopo_PN,"Ilustrasinya pakai foto erupsi Gunung Soputan. Keren kan? Cintamu menyembur begitu tinggi sampai 7,5 Km. Gemuruh cintamu terdengar sampai radius 10km. Sebaran cinta laksana abu vulkanik menyebar luas.  Tapi tak ada yang tersakiti dengan erupsi itu. Semua aman. Plong kan rasanya?",False,2018-12-18 01:50:00,18,Dec,2018,1:50 AM
InfoHumasBMKG,"Peta Sebaran Hujan Jabodetabek, Konsentrasi hujan tertinggi berada di wilayah Cariu yaitu 53.6 mm (Lebat).pic.twitter.com/uCIMv1PBHY",False,2018-12-18 00:22:00,18,Dec,2018,12:22 AM
BpbdSidoarjo,"BPBD Kabupaten Sidoarjo, Basarnas Surabaya dan Unsur relawan melakukan pencarian laka air di dekat Polsek Kecamatan Prambon, sampai saat ini korban masi belum ditemukanpic.twitter.com/jPanD5H0pN",False,2018-12-18 00:23:00,18,Dec,2018,12:23 AM
StaklimJogja,Update Citra Radar Cuaca Wilayah DI. Yogyakarta Tanggal 18 Desember 2018 pukul 15.10 WIB #InfoCuacaJogja #BMKGDIY Cc: @SAR_NASIONAL @BNPB_Indonesia @Pusdalops_diypic.twitter.com/Bv4ma3CUrw,False,2018-12-18 00:18:00,18,Dec,2018,12:18 AM
